Node,TAZ12,County,Region,TAZCentroid
75,3104,San Benito,Central Coast,0
76,2119,San Joaquin,San Joaquin Valley,0
77,3451,Ventura,SCAG,0
78,4118,Los Angeles,SCAG,0
79,2824,Kern,San Joaquin Valley,0
80,102,Del Norte,Rest of State,0
81,165,Siskiyou,Rest of State,0
82,129,Modoc,Rest of State,0
83,107,Humboldt,Rest of State,0
84,170,Trinity,Rest of State,0
85,122,Lassen,Rest of State,0
86,145,Shasta,Rest of State,0
87,281,Tehama,Rest of State,0
88,250,Mendocino,Rest of State,0
89,231,Glenn,Rest of State,0
90,274,Plumas,Rest of State,0
91,212,Butte,Rest of State,0
92,277,Sierra,Rest of State,0
93,345,Yuba,SACOG/TRPA,0
94,270,Nevada,Rest of State,0
95,228,Colusa,Rest of State,0
96,238,Lake,Rest of State,0
97,304,Sutter,SACOG/TRPA,0
98,460,Placer,SACOG/TRPA,0
99,459,Placer,SACOG/TRPA,0
100,100,Del Norte,Rest of State,1
101,101,Del Norte,Rest of State,1
102,102,Del Norte,Rest of State,1
103,103,Del Norte,Rest of State,1
104,104,Del Norte,Rest of State,1
105,105,Humboldt,Rest of State,1
106,106,Humboldt,Rest of State,1
107,107,Humboldt,Rest of State,1
108,108,Humboldt,Rest of State,1
109,109,Humboldt,Rest of State,1
110,110,Humboldt,Rest of State,1
111,111,Humboldt,Rest of State,1
112,112,Humboldt,Rest of State,1
113,113,Humboldt,Rest of State,1
114,114,Humboldt,Rest of State,1
115,115,Humboldt,Rest of State,1
116,116,Humboldt,Rest of State,1
117,117,Humboldt,Rest of State,1
118,118,Humboldt,Rest of State,1
119,119,Humboldt,Rest of State,1
120,120,Humboldt,Rest of State,1
121,121,Humboldt,Rest of State,1
122,122,Lassen,Rest of State,1
123,123,Lassen,Rest of State,1
124,124,Lassen,Rest of State,1
125,125,Lassen,Rest of State,1
126,126,Lassen,Rest of State,1
127,127,Lassen,Rest of State,1
128,128,Modoc,Rest of State,1
129,129,Modoc,Rest of State,1
130,130,Modoc,Rest of State,1
131,131,Modoc,Rest of State,1
132,132,Shasta,Rest of State,1
133,133,Shasta,Rest of State,1
134,134,Shasta,Rest of State,1
135,135,Shasta,Rest of State,1
136,136,Shasta,Rest of State,1
137,137,Shasta,Rest of State,1
138,138,Shasta,Rest of State,1
139,139,Shasta,Rest of State,1
140,140,Shasta,Rest of State,1
141,141,Shasta,Rest of State,1
142,142,Shasta,Rest of State,1
143,143,Shasta,Rest of State,1
144,144,Shasta,Rest of State,1
145,145,Shasta,Rest of State,1
146,146,Shasta,Rest of State,1
147,147,Shasta,Rest of State,1
148,148,Shasta,Rest of State,1
149,149,Shasta,Rest of State,1
150,150,Shasta,Rest of State,1
151,151,Shasta,Rest of State,1
152,152,Shasta,Rest of State,1
153,153,Shasta,Rest of State,1
154,154,Shasta,Rest of State,1
155,155,Shasta,Rest of State,1
156,156,Shasta,Rest of State,1
157,157,Shasta,Rest of State,1
158,158,Shasta,Rest of State,1
